"host","records_per_host","avg_bow_size","min_bow_size","max_bow_size"
"profiles.bu.edu",85,650,5,2935
"purr.purdue.edu",85,32,30,34
"www.pref.fukuoka.lg.jp",85,13,4,63
"www.cob.unt.edu",84,8,1,14
"www.inference.phy.cam.ac.uk",84,924,2,15560
"astropedia.astrogeology.usgs.gov",84,575,3,1443
"dati.opendataground.it",83,803,52,16332
"www.acsu.buffalo.edu",83,2,1,12
"kmdata.osu.edu",83,351,23,4703
"workspace.nottingham.ac.uk",83,28,28,28
"www.grc.nasa.gov",83,49,1,308
"vista.cira.colostate.edu",83,21,2,154
"sbn.psi.edu",83,475,47,7233
"data.vorarlberg.gv.at",82,215,89,666
"www.imsglobal.org",82,527,12,5254
"egisws02.nos.noaa.gov",82,173,11,5206
"www.math.unl.edu",81,199,1,1989
"profiles.ucsd.edu",81,171,15,2000
"gisinventory.net",81,450,241,1446
"broncosabroad.international.wmich.edu",81,49,49,49
"git-bioimage.coe.drexel.edu",81,244,26,592
"aviationweather.gov",81,1188,1,9887
"europarltv.europa.eu",81,4866,14,28585
"isgs.illinois.edu",80,1357,403,4495
"xml2.des.state.nh.us",80,360,10,6994
"www.cs.nott.ac.uk",79,1754,3,16314
"www.public.asu.edu",79,13,1,225
"galileo.phys.virginia.edu",79,151,1,992
"coastalmap.marine.usgs.gov",78,2866,6,6993
"www.soest.hawaii.edu",78,57,1,455
"astrogravs.nasa.gov",78,316,54,1194
"www.dlib.org",78,76,30,1046
"dublincore.org",78,176,9,3094
"opendata.montpelliernumerique.fr",78,1624,1,22422
"pages.stern.nyu.edu",77,31,2,138
"data.lacity.org",77,3070,7,32060
"tigerweb.geo.census.gov",77,323,5,6993
"abyss.uoregon.edu",75,263,3,421
"ndeaa.jpl.nasa.gov",75,8,1,14
"dnrmaps.wi.gov",75,262,9,1270
"docs.oasis-open.org",75,991,24,4786
"www.aviationweather.gov",75,1196,2,8971
"www.museum.lsu.edu",74,3,1,12
"www.upc.edu",74,888,14,7753
"opendata.krd.ru",74,85,1,934
"data.kingcounty.gov",74,2010,21,54102
"www2.latech.edu",74,17,1,357
"www.granit.sr.unh.edu",74,1592,1046,1891
"www.math.tamu.edu",73,2246,4,6858
"ftp.linux.ncsu.edu",73,701,22,23659
"www.cs.unm.edu",73,3978,69,68161
"home.nwciowa.edu",72,6,1,12
"gcmd.nasa.gov",71,198,119,4946
"ahps.erh.noaa.gov",71,8089,28,11812
"spaces.ais.ucla.edu",71,28,28,28
"ir.uiowa.edu",71,468,5,6010
"www.westga.edu",71,11,1,222
"airbornescience.nsstc.nasa.gov",70,1372,12,18099
"ccrma.stanford.edu",70,90,15,293
"geodata.npolar.no",69,101,4,412
"www.kishwaukeecollege.edu",69,9,1,12
"gis.ers.usda.gov",69,2988,2,6993
"www.morgan.edu",68,3483,26,47961
"msds.npoess.noaa.gov",68,10473,9,20971
"datacatalog.cookcountyil.gov",68,1745,24,21138
"trustmark.gtri.gatech.edu",68,2140,419,7151
"arcgis.sd.gov",68,712,10,6992
"data.baltimorecity.gov",68,3585,31,27825
"install.linux.ncsu.edu",68,61,21,158
"www.loc.gov",68,2611,80,40435
"www.seis.utah.edu",68,6380,5,31896
"www.ucs.cam.ac.uk",67,24,20,25
"www.ndsu.edu",67,18,1,368
"data.maryland.gov",67,1300,21,16153
"egis.hud.gov",67,2365,10,6378
"data.seattle.gov",66,5548,31,41176
"kygisserver.ky.gov",66,158,10,794
"www.aoncadis.org",66,349,71,992
"arcticlcc.org",66,1025,523,4911
"www.eol.ucar.edu",66,57,2,732
"services.iula.upf.edu",65,1686,24,1718
"alerts.weather.gov",65,267,27,744
"users.ipfw.edu",65,8,1,12
"www.cteco.uconn.edu",65,2518,526,14120
"vtechworks.lib.vt.edu",64,2042,13,7855
"www.phys.utk.edu",64,8,2,145
"www.wright.edu",64,8,1,12
"profiles.nlm.nih.gov.libproxy.lib.unc.edu",64,148,19,917
"gis.srh.noaa.gov",64,1802,6,6992
"osmc.noaa.gov",64,2886,106,34381
"verif.rap.ucar.edu",63,413,2,9723
"iatistandard.org",63,786,13,11162
"collection.britishart.yale.edu",63,203,19,900
"marine.rutgers.edu",63,155,2,682
"data.bris.ac.uk",63,354,14,8224
"cdpp.eu",63,138,53,263
"cteco.uconn.edu",63,2305,768,6560
"lter.kbs.msu.edu",63,1025,192,3622
"physics.uwyo.edu",63,216,63,721
"data.angers.fr",62,234,53,4471
"eunis.eea.europa.eu",62,134,56,398
"www.avoindata.fi",62,246,47,6025
"maps.edc.uri.edu",62,424,61,7009
"atlas.geog.pdx.edu",61,1217,4,6993
"profiles.umassmed.edu",61,680,17,4555
"oai.datacite.org",61,376,12,7430
"apps.who.int",61,2400,69,19867
"certmapper.cr.usgs.gov",61,274,11,1049
"accounts.ulster.ac.uk",61,418,16,998
"www.bmrb.wisc.edu",61,4963,4,25319
"sealevel.colorado.edu",61,268,36,1339
"cstar.cestm.albany.edu",60,42,1,170
"www.prh.noaa.gov",60,866,78,1365
"raster.nationalmap.gov",60,2583,10,6992
"www.srs.fs.usda.gov",60,689,172,5052
"catalogue.datalocale.fr",59,5913,12,41914
"bcaws.aviationweather.gov",59,1106,2,14077
"ftp.sunet.se",59,34,12,59
"xml2rfc.tools.ietf.org",59,810,11,8899
"www.uta.edu",59,97,1,5213
"photo.byui.edu",59,8,6,12
