"num_responses","xpath"
17,"MD_Metadata/resourceMaintenance/MD_MaintenanceInformation/maintenanceAndUpdateFrequency/MD_MaintenanceFrequencyCode"
17,"MD_Metadata/resourceConstraints/MD_SecurityConstraints/classification/MD_ClassificationCode"
17,"MD_Metadata/resourceConstraints/MD_LegalConstraints/accessConstraints/MD_RestrictionCode"
16,"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
16,"MD_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
16,"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
16,"MI_Metadata/distributionInfo/MD_Distribution/distributor/MD_Distributor/distributorTransferOptions/MD_DigitalTransferOptions/offLine/MD_Medium/name/MD_MediumNameCode"
15,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/softwareReference/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
15,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/documentation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
15,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
14,"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetIdentifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
14,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/softwareReference/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
14,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/softwareReference/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
13,"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/processor/CI_ResponsibleParty/role/CI_RoleCode"
13,"MD_Metadata/identificationInfo/SV_ServiceIdentification/couplingType/SV_CouplingType"
13,"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
12,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/processingInformation/LE_Processing/algorithm/LE_Algorithm/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/type/MD_KeywordTypeCode"
10,"MI_Metadata/distributionInfo/MD_Distribution/distributor/MD_Distributor/distributorTransferOptions/MD_DigitalTransferOptions/offLine/MD_Medium/mediumFormat/MD_MediumFormatCode"
10,"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
10,"MD_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/initiativeType/DS_InitiativeTypeCode"
10,"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
10,"MD_Metadata/identificationInfo/SV_ServiceIdentification/containsOperations/SV_OperationMetadata/connectPoint/CI_OnlineResource/function/CI_OnLineFunctionCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceMaintenance/MD_MaintenanceInformation/maintenanceAndUpdateFrequency/MD_MaintenanceFrequencyCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceConstraints/MD_SecurityConstraints/classification/MD_ClassificationCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceConstraints/MD_LegalConstraints/useConstraints/MD_RestrictionCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceConstraints/MD_LegalConstraints/accessConstraints/MD_RestrictionCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/pointOfContact/CI_ResponsibleParty/role/CI_RoleCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/couplingType/SV_CouplingType"
10,"GetRecordByIdResponse/MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
