"response_id","age","protocol","num_nondigital","num_offline","num_online"
165488,"2014-01-01","ISO",0,0,2
165510,"2015-01-01","FGDC",0,0,0
165574,"","ISO",0,0,1
165592,"2008-01-01","FGDC",0,1,0
165598,"2014-01-01","FGDC",0,0,3
165654,"2015-01-01","FGDC",0,0,1
165770,"2008-01-01","FGDC",0,1,0
165780,"2014-01-01","ISO",0,0,2
165838,"","ISO",0,0,1
165863,"2010-01-01","FGDC",0,0,6
165898,"2015-01-01","FGDC",0,0,0
165958,"2014-01-01","ISO",0,0,2
166152,"2015-01-01","FGDC",0,0,0
166157,"2008-01-01","FGDC",0,0,3
166172,"2013-01-01","FGDC",0,0,0
166214,"","ISO",0,0,1
166345,"","ISO",0,0,1
166429,"2009-01-01","FGDC",0,0,0
166486,"2015-01-01","FGDC",0,0,37
166638,"","ISO",0,0,1
166651,"2014-01-01","ISO",0,0,25
166678,"2010-01-01","FGDC",0,0,0
166726,"2015-01-01","FGDC",0,0,1
166731,"2006-01-01","FGDC",0,0,4
166735,"2003-01-01","FGDC",0,0,0
166793,"2008-01-01","FGDC",0,0,0
166862,"2015-01-01","ISO",0,0,3
166961,"2015-01-01","ISO",0,0,26
166999,"2011-01-01","FGDC",0,0,0
167063,"2015-01-01","ISO",0,0,2
167122,"2013-01-01","FGDC",0,0,3
167146,"2012-01-01","ISO",0,0,1
167224,"","ISO",0,0,1
167262,"2004-01-01","FGDC",0,0,3
167394,"2011-01-01","FGDC",0,0,0
167469,"2012-01-01","FGDC",0,0,0
167592,"","ISO",0,0,1
167622,"2015-01-01","FGDC",0,0,0
167732,"","ISO",0,0,1
167772,"2012-01-01","FGDC",0,0,0
167787,"2006-01-01","FGDC",0,0,1
167988,"2013-01-01","ISO",0,0,1
167990,"2007-01-01","FGDC",0,1,0
168024,"2013-01-01","ISO",0,0,1
168087,"2011-01-01","FGDC",0,1,0
168178,"2012-01-01","ISO",0,0,0
168231,"2015-01-01","FGDC",0,0,9
168240,"2015-01-01","FGDC",0,0,37
168242,"2014-01-01","ISO",0,0,4
168250,"2003-01-01","FGDC",0,0,0
168412,"2008-01-01","ISO",0,0,1
168494,"2010-01-01","FGDC",0,0,1
168503,"2009-01-01","FGDC",0,0,3
168602,"2015-01-01","ISO",0,0,0
168857,"2009-01-01","FGDC",0,0,3
168880,"2009-01-01","ISO",0,0,0
168891,"2013-01-01","FGDC",0,0,2
168911,"2013-01-01","ISO",0,0,1
168940,"2012-01-01","FGDC",1,0,1
168961,"","ISO",0,0,17
169048,"2014-01-01","ISO",0,0,2
169055,"2011-01-01","FGDC",0,0,3
169125,"2013-01-01","ISO",0,0,1
169193,"2014-01-01","FGDC",0,0,0
