"tag","match_type","avg_ids"
"Metadata/dataIdInfo/dataExt/vertEle/vertDatum/datumId/identCode/@SDNIdent","urn",1.00
"Metadata/dataIdInfo/dataScale/scaleDist/uom/UomTime/uomName/@SDNIdent","urn",1.00
"Metadata/dataIdInfo/descKeys/keyword/@SDNIdent","urn",17.50
"metadata/dataIdInfo/descKeys/thesaName/@uuidref","uuid",1.00
"metadata/dataIdInfo/idAbs","doi",2.50
"metadata/dataIdInfo/idAbs","md5",1.56
"metadata/dataIdInfo/idAbs","uuid",1.00
"metadata/dataIdInfo/idAbs","cooluri",1.00
"Metadata/dataIdInfo/idCitation/citRespParty/rpOrgName/@SDNIdent","urn",5.00
"metadata/dataIdInfo/idCitation/otherCitDet","doi",1.00
"Metadata/dataIdInfo/idCitation/resTitle/@SDNIdent","urn",7.00
"metadata/dataIdInfo/idPoC/editorDigest","md5",1.00
"Metadata/dataIdInfo/idPoC/rpOrgName/@SDNIdent","urn",1.00
"metadata/dataIdInfo/idPurp","doi",4.00
"metadata/dataIdInfo/otherKeys/thesaName/@uuidref","uuid",1.00
"Metadata/dataIdInfo/resConst/LegConsts/accessConsts/@SDNIdent","urn",1.50
"metadata/dataIdInfo/resMaint/maintCont/editorDigest","md5",1.00
"metadata/dataqual/attracc/attraccr","doi",1.00
"metadata/dataqual/attracc/attraccr","urn",1.00
"metadata/dataqual/complete","cooluri",1.00
"metadata/dataqual/complete","doi",1.00
"metadata/dataqual/lineage/method/methcite/citeinfo/onlink","doi",2.00
"metadata/dataqual/lineage/method/methcite/citeinfo/onlink","md5",1.00
"metadata/dataqual/lineage/method/methdesc","urn",1.00
"metadata/dataqual/lineage/procstep/procdesc","cooluri",2.26
"metadata/dataqual/lineage/procstep/procdesc","urn",1.69
"metadata/dataqual/lineage/procstep/procdesc","md5",1.50
"metadata/dataqual/lineage/procstep/procdesc","doi",1.13
"metadata/dataqual/lineage/procstep/procdesc","uuid",1.00
"metadata/dataqual/lineage/procstep/srcused","cooluri",1.00
"metadata/dataqual/lineage/procstep/srcused","md5",1.00
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","uuid",1.75
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","urn",1.67
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","doi",1.37
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","md5",1.00
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","cooluri",1.00
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/origin","doi",1.00
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/othercit","doi",1.75
"metadata/dataqual/lineage/srcinfo/srccontr","urn",1.00
"metadata/dataqual/lineage/srcinfo/srccontr","uuid",1.00
"metadata/dataqual/lineage/srcinfo/srcscale","urn",1.00
"metadata/dataqual/posacc/horizpa/horizpar","doi",2.00
"metadata/dataqual/posacc/horizpa/horizpar","urn",1.00
"metadata/dataqual/posacc/horizpa/horizpar","cooluri",1.00
"metadata/dataqual/posacc/vertacc/vertaccr","urn",1.00
"metadata/distinfo/custom","cooluri",1.00
"metadata/distinfo/custom","urn",1.00
"metadata/distinfo/distliab","urn",1.00
"metadata/distinfo/distrib/cntinfo/cntemail","urn",4.00
"metadata/distinfo/distrib/cntinfo/cntinst","cooluri",1.00
"Metadata/distInfo/distributor/distorCont/rpOrgName/@SDNIdent","urn",1.00
"Metadata/distInfo/distributor/distorFormat/formatName/@SDNIdent","urn",2.00
"metadata/distInfo/distTranOps/onLineSrc/linkage","doi",2.00
"metadata/distInfo/distTranOps/onLineSrc/linkage","uuid",1.00
"metadata/distInfo/distTranOps/onLineSrc/linkage","md5",1.00
"Metadata/distInfo/distTranOps/onLineSrc/protocol","urn",1.00
"metadata/distinfo/stdorder/digform/digtinfo/formcont","urn",1.00
"metadata/distinfo/stdorder/digform/digtopt/offoptn/compat","urn",1.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr","doi",2.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr","urn",1.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","doi",2.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","urn",1.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","uuid",1.00
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","md5",1.00
"metadata/distinfo/stdorder/ordering","urn",1.00
"metadata/distinfo/techpreq","cooluri",1.00
"metadata/doi","doi",1.00
"metadata/doi","uuid",1.00
"metadata/dqInfo/dataLineage/dataSource/srcCitatn/citOnlineRes/linkage","md5",1.00
"metadata/eainfo/detailed/attr/attrdef","doi",2.00
