"id","age","protocol","num_quality_tokens","num_quality_elements"
632460,"2015-04-01","""ISO""",20,2
540622,"2015-04-01","""ISO""",168,2
226504,"2015-06-01","""ISO""",82,2
145530,"2014-12-01","""ISO""",60,2
788600,"2015-06-01","""ISO""",28,2
357218,"2011-05-01","""ISO""",342,2
244048,"2011-12-01","""ISO""",28,2
398567,"1998-07-01","""ISO""",16,2
760569,"2001-06-01","""ISO""",18,2
617356,"2011-11-01","""ISO""",28,2
415659,"2014-03-01","""ISO""",2,2
633994,"2006-03-01","""ISO""",148,2
606528,"2015-06-01","""ISO""",162,2
248648,"2005-10-01","""ISO""",150,2
212430,"2012-03-01","""ISO""",58,2
549970,"2010-05-01","""ISO""",158,2
396041,"2007-11-01","""ISO""",162,2
718876,"2012-10-01","""ISO""",198,2
802662,"2007-08-01","""ISO""",712,2
643853,"2014-10-01","""ISO""",2,2
565571,"2014-09-01","""ISO""",128,2
378813,"2010-10-01","""ISO""",104,2
357646,"2002-01-01","""ISO""",2,2
652904,"2012-12-01","""ISO""",246,2
434218,"2011-04-01","""ISO""",2,2
696637,"2008-04-01","""ISO""",80,2
488895,"2014-11-01","""ISO""",96,2
143189,"2014-08-01","""ISO""",76,2
388519,"2006-07-01","""ISO""",356,2
440994,"2014-11-01","""ISO""",96,2
302298,"2010-01-01","""ISO""",2,2
332862,"2014-09-01","""ISO""",168,2
521970,"2010-08-01","""ISO""",76,2
299462,"2015-07-01","""ISO""",60,2
182899,"2015-02-01","""ISO""",16,2
152292,"2009-01-01","""ISO""",42,2
658913,"2014-09-01","""ISO""",168,2
538630,"2012-10-01","""ISO""",40,2
472738,"9999-01-01","""ISO""",54,2
619432,"2014-11-01","""ISO""",4,2
664271,"2013-05-01","""ISO""",40,2
190055,"2014-09-01","""ISO""",136,2
697155,"2014-07-01","""ISO""",128,2
254061,"2014-10-01","""ISO""",2,2
612507,"2007-10-01","""ISO""",2,2
682514,"2011-12-01","""ISO""",208,2
702108,"2006-05-01","""ISO""",6,2
406398,"2008-04-01","""ISO""",76,2
627950,"2015-07-01","""ISO""",10,2
146932,"2004-05-01","""ISO""",32,2
530737,"2007-09-01","""ISO""",114,2
682809,"2015-05-01","""ISO""",2,2
338699,"2014-07-01","""ISO""",48,2
182308,"2014-03-01","""ISO""",2,2
154047,"2012-06-01","""ISO""",44,2
809040,"2011-10-01","""ISO""",158,2
383959,"2014-03-01","""ISO""",94,2
613028,"2005-02-01","""ISO""",12,2
529213,"2014-09-01","""ISO""",104,2
297850,"2012-06-01","""ISO""",44,2
622097,"2012-12-01","""ISO""",46,2
753285,"2014-09-01","""ISO""",136,2
185542,"2014-09-01","""ISO""",2,2
370609,"2011-05-01","""ISO""",76,2
776534,"2011-03-01","""ISO""",196,2
274204,"2013-08-01","""ISO""",84,2
440660,"2008-07-01","""ISO""",66,2
299702,"1998-07-01","""ISO""",16,2
690903,"2006-02-01","""ISO""",32,2
654722,"2002-02-01","""ISO""",92,2
556694,"2012-06-01","""ISO""",44,2
368118,"2014-03-01","""ISO""",2,2
773199,"2012-12-01","""ISO""",50,2
433934,"2014-03-01","""ISO""",2,2
653942,"2009-05-01","""ISO""",134,2
638771,"2011-01-01","""ISO""",228,2
766754,"2014-07-01","""ISO""",136,2
200476,"2013-11-01","""ISO""",106,2
600078,"2010-04-01","""ISO""",56,2
266386,"2011-04-01","""ISO""",96,2
504289,"2007-02-01","""ISO""",134,2
721482,"2013-08-01","""ISO""",18,2
272215,"2009-10-01","""ISO""",2,2
422911,"2014-03-01","""ISO""",2,2
380187,"2014-09-01","""ISO""",136,2
753603,"2012-06-01","""ISO""",44,2
807209,"2010-04-01","""ISO""",76,2
678378,"2012-05-01","""ISO""",60,2
445407,"2010-08-01","""ISO""",346,2
660247,"2010-10-01","""ISO""",44,2
363820,"2014-04-01","""ISO""",56,2
144583,"2012-06-01","""ISO""",44,2
198282,"2006-03-01","""ISO""",212,2
607802,"2012-10-01","""ISO""",40,2
757138,"2013-11-01","""ISO""",2,2
206624,"2002-07-01","""ISO""",52,2
141729,"2011-04-01","""ISO""",384,2
395471,"2012-06-01","""ISO""",44,2
477113,"2009-07-01","""ISO""",346,2
236240,"2015-06-01","""ISO""",2,2
679620,"2013-09-01","""ISO""",136,2
589158,"2014-11-01","""ISO""",14,2
278468,"2005-07-01","""ISO""",20,2
760758,"2013-01-01","""ISO""",142,2
149916,"2010-06-01","""ISO""",2,2
206724,"2010-12-01","""ISO""",98,2
415994,"2015-07-01","""ISO""",74,2
593119,"2012-10-01","""ISO""",40,2
618911,"2012-12-01","""ISO""",46,2
586781,"2011-06-01","""ISO""",188,2
436683,"2012-06-01","""ISO""",44,2
147747,"2007-01-01","""ISO""",100,2
502654,"2015-03-01","""ISO""",32,2
265649,"2010-06-01","""ISO""",2,2
268952,"2012-03-01","""ISO""",80,2
334761,"2012-12-01","""ISO""",88,2
566592,"2009-02-01","""ISO""",112,2
342044,"2014-09-01","""ISO""",168,2
661932,"2015-05-01","""ISO""",454,2
358300,"2008-02-01","""ISO""",2,2
790757,"2006-12-01","""ISO""",158,2
621317,"2012-06-01","""ISO""",342,2
359172,"2012-08-01","""ISO""",68,2
336174,"2011-02-01","""ISO""",190,2
472017,"2014-09-01","""ISO""",2,2
760321,"2006-07-01","""ISO""",356,2
609189,"2013-10-01","""ISO""",206,2
469288,"2014-09-01","""ISO""",136,2
699070,"2015-06-01","""ISO""",8,2
331865,"2007-05-01","""ISO""",12,2
146930,"2012-03-01","""ISO""",80,2
612393,"2013-09-01","""ISO""",88,2
447259,"2014-04-01","""ISO""",56,2
156686,"2014-10-01","""ISO""",16,2
293339,"2013-12-01","""ISO""",342,2
580251,"9999-01-01","""ISO""",8,2
342717,"2010-08-01","""ISO""",20,2
360827,"2009-03-01","""ISO""",98,2
231649,"2014-09-01","""ISO""",2,2
488815,"1998-07-01","""ISO""",16,2
662017,"2007-04-01","""ISO""",2,2
763491,"2014-09-01","""ISO""",118,2
514643,"2007-04-01","""ISO""",342,2
514556,"2015-03-01","""ISO""",16,2
183728,"2010-02-01","""ISO""",138,2
230177,"2006-12-01","""ISO""",158,2
665704,"2009-06-01","""ISO""",342,2
530103,"2010-04-01","""ISO""",2,2
327683,"9999-01-01","""ISO""",18,2
651371,"2010-06-01","""ISO""",134,2
185574,"2010-01-01","""ISO""",68,2
742902,"2014-03-01","""ISO""",32,2
711991,"2009-05-01","""ISO""",16,2
803539,"2006-10-01","""ISO""",158,2
480133,"2007-01-01","""ISO""",222,2
777586,"2012-10-01","""ISO""",18,2
583554,"2014-07-01","""ISO""",6,2
729568,"2013-05-01","""ISO""",84,2
523895,"2009-09-01","""ISO""",42,2
453430,"1998-07-01","""ISO""",16,2
435724,"2010-07-01","""ISO""",2,2
231600,"9999-01-01","""ISO""",14,2
320104,"2012-03-01","""ISO""",346,2
246551,"2012-02-01","""ISO""",78,2
571365,"2012-03-01","""ISO""",58,2
202275,"2008-05-01","""ISO""",172,2
627810,"2012-06-01","""ISO""",44,2
417964,"2012-03-01","""ISO""",80,2
668737,"2014-12-01","""ISO""",60,2
265043,"2015-04-01","""ISO""",20,2
168095,"2014-09-01","""ISO""",104,2
410483,"2010-10-01","""ISO""",30,2
706710,"2014-03-01","""ISO""",94,2
496693,"2015-07-01","""ISO""",28,2
561167,"2013-03-01","""ISO""",114,2
464412,"2006-03-01","""ISO""",60,2
307744,"9999-01-01","""ISO""",22,2
589003,"2012-06-01","""ISO""",44,2
155736,"1998-07-01","""ISO""",16,2
409123,"2012-01-01","""ISO""",102,2
653281,"2009-09-01","""ISO""",342,2
285613,"2015-07-01","""ISO""",106,2
716752,"2010-09-01","""ISO""",94,2
785926,"2010-04-01","""ISO""",24,2
248608,"2005-11-01","""ISO""",188,2
782807,"2014-06-01","""ISO""",16,2
706780,"2009-01-01","""ISO""",190,2
408581,"2014-07-01","""ISO""",88,2
585031,"2010-04-01","""ISO""",2,2
774303,"2008-01-01","""ISO""",2,2
311120,"2011-06-01","""ISO""",2,2
805361,"2009-10-01","""ISO""",158,2
