"tag","num"
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/series/CI_Series/issueIdentification/CharacterString",4
"article/back/app-group/supplementary-material/p/bold/inline-supplementary-material/@href",4
"seismicMetadata/datasetInformation/documentation/citationInformation/doi",4
"xhtml/body/table/tr/td/div/ul/li/div/ul/li/div/div",4
"record/metadata/dc/identifier",3
"oembed/html",3
"eml/dataset/distribution/online/url",3
"metadata/idinfo/crossref/citeinfo/title",3
"article/front/article-meta/abstract/p/uri",3
"template/citation",3
"dc/relation",3
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",3
"graphml/graph/data",3
"RDF/Description/mods/relatedItem/location/url",3
"xml/records/record/abstract",3
"catalog-item/fgdc-lineage/method/methdesc",3
"MI_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString",3
"TEI/text/body/div/div/list/item/list/item/ref/@target",3
"OAI-PMH/GetRecord/record/metadata/dc/rights",3
"LAB/PAST/LABMEMBER/PUBLICATIONS/PUBLICATION/AT",3
"eml/additionalMetadata/metadata/gbif/bibliography/citation/@identifier",3
"RDF/item/publication/Description/hasExtraField/Field/@value",3
"Product_Context/Instrument/description",3
"Exts/Ext/Reference/doi",2
"codeBook/stdyDscr/stdyInfo/abstract/ExtLink/@URI",2
"OAI-PMH/ListRecords/record/metadata/dc/title",2
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/title/CharacterString",2
"OAI-PMH/ListRecords/record/metadata/identifier",2
"eml/dataset/methods/methodStep/description/para/literalLayout",2
"RDF/Description/identifier",2
"kml/Folder/GroundOverlay/description",2
"eml/dataset/methods/methodStep/description/section/para/literalLayout",2
"mods/abstract",2
"document/treatment/subSubSection/paragraph/citationReference/@url",2
"metadata/dataqual/posacc/horizpa/horizpar",2
"rfc/back/references/reference/seriesInfo/@value",2
"ViewContext/General/Abstract",2
"DDIInstance/StudyUnit/Archive/ArchiveSpecific/Item/Access/CitationRequirement",2
"catalog-item/access-info/data-use-constraints",2
"OAI-PMH/ListRecords/record/metadata/dim/field",2
"doi_batch/body/journal/journal_article/doi_data/collection/item/resource",2
"RDF/channel/description",2
"metadata/dataqual/attracc/attraccr",2
"LAB/PHD/LABMEMBER/PUBLICATIONS/PUBLICATION/AT",2
"OAI-PMH/GetRecord/record/metadata/crossref/journal/journal_article/doi_data/resource",2
"article/back/app-group/supplementary-material/p/bold/inline-supplementary-material",2
"metadata/reference",2
"RDF/Description/isRequiredBy/@resource",2
"metadata/variable/methodReference",2
"DIF/Summary/Abstract",2
"catalog-item/related-items/item/abstract",2
"xhtml/body/form/table/tr/td/div/ul/li/div/ul/li/div/span",2
"catalog/dataset/description",2
"feed/entry/content/p/a/@href",2
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString",2
"MI_Metadata/contentInfo/MD_FeatureCatalogueDescription/featureCatalogueCitation/CI_Citation/otherCitationDetails/CharacterString",2
"OAI-PMH/GetRecord/record/metadata/crossref/journal/journal_issue/doi_data/doi",2
"RDF/item/publication/Description/sameAs/@resource",2
"rfc/back/references/reference/@target",2
"article/back/ref-list/ref/mixed-citation/uri",2
"document/@ID-DOI",2
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",2
"metadata/ph/methodReference",2
"RDF/EEAFigure/methodology",2
"codeBook/stdyDscr/method/notes/p/ExtLink/@URI",2
"metadata/abstract",2
"OAI-PMH/ListRecords/record/metadata/DIDL/Item/Descriptor/Statement/dc/identifier",2
"feed/entry/summary",2
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/otherCitationDetails/CharacterString",2
"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/description/CharacterString",2
"CERIF/cfOrgUnit/cfURI",2
"re3data/repository/re3data.orgIdentifier",2
"metadata/eainfo/detailed/attr/attrdef",2
"OAI-PMH/ListRecords/record/metadata/article/back/ref-list/ref/citation/pub-id",1
"DIF/Data_Set_Citation/Dataset_DOI",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/description/CharacterString",1
"OAI-PMH/ListRecords/record/metadata/oai_datacite/payload/resource/alternateIdentifiers/alternateIdentifier",1
"eml/dataset/abstract/section/para",1
"catalog-item/fgdc-lineage/procstep/procdesc",1
"RDF/EEAFigure/dataSource",1
"RDF/Description/requires/@resource",1
"Worksheet/Presentation-Block/Group/Input/Text-field/Hyperlink/Font",1
"doi_batch/body/journal/journal_article/crossmark/crossmark_policy",1
"MedlineCitationSet/MedlineCitation/CommentsCorrectionsList/CommentsCorrections/RefSource",1
"EM_TF/Copyright/Citation/DOI",1
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/origin",1
"dublin_core/dcvalue",1
"metadata/dataqual/complete",1
"TEI/text/body/div/table/row/cell/ref/@target",1
"CMD/Components/LINDAT_CLARIN/dataInfo/description",1
"RDF/ArticleInRefereedJournal/electronicCopy/@resource",1
"OAI-PMH/ListRecords/record/metadata/crossref/journal/journal_metadata/doi_data/resource",1
"catalog-item/data-quality/completeness-report",1
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword/CharacterString",1
"metadata/idinfo/browse/browsen",1
"metadata/idinfo/descript/noaainfo/reference",1
"feed/entries/entry/summary",1
"resource/relatedIdentifiers/relatedIdentifier/@relatedMetadataScheme",1
"article/body/sec/p/ext-link",1
"xml/records/record/research-notes/style",1
"metadata/suppleInfo",1
"digitalObject/datastream/datastreamVersion/@ALT_IDS",1
"RDF/File/isPartOf/documentContainer/description",1
"result/item/field_model_digital_object_id",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString",1
"schvalene_zmluvy_o_fp/zmluva/datum-platnosti-ucinnosti-zmluvy-VP",1
"xml/records/record/work-type/style",1
"MI_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",1
"ShortDOIResults/DOI",1
"OAI-PMH/ListRecords/record/metadata/crossref/journal/journal_metadata/doi_data/doi",1
"kml/Document/Folder/Placemark/description",1
"doi_batch/body/journal/journal_article/doi_data/doi",1
"document/treatment/subSubSection/caption/paragraph/bibRefCitation/@url",1
"MI_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString",1
"DIDL/Item/Item/Component/Resource/dc/description",1
"xml/records/record/urls/related-urls/url/style",1
"RDF/ExternalDataSpec/description",1
"CodeList/SimpleCodeList/Row/Value/ComplexValue/Value",1
"CMD/Components/ExperimentProfile/Publications/Publication/Url",1
"mets/dmdSec/mdWrap/xmlData/abstract",1
"context-object/referent/metadata-by-val/metadata/journal/pages",1
"RDF/Description/value",1
"OAI-PMH/GetRecord/record/metadata/DIDL/Container/Descriptor/Statement/Identifier",1
"OAI-PMH/GetRecord/record/header/identifier",1
"metadata/eainfo/overview/eaover",1
"catalog-item/data-quality/accuracy",1
"RDF/ExternalDataSpec/dataset_url",1
"RDF/Subject/Note",1
"CoRIS/URL",1
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/identifier/MD_Identifier/code/CharacterString",1
"metadata/idinfo/useconst",1
