"protocol","host","match_type","count_w_type","pct_w_type","total_responses"
"FGDC","www.landscape.blm.gov","uuid",2,0.17,1203
"ISO","ecowatch.ncddc.noaa.gov","cooluri",39,51.32,76
"ISO","data.ioos.us","cooluri",80,43.48,184
"ISO","bluehub.jrc.ec.europa.eu","cooluri",3,2.21,136
"ISO","catalog.data.gov","cooluri",101,2.07,4890
"ISO","mcm.lternet.edu","cooluri",1,1.32,76
"ISO","www.coris.noaa.gov","cooluri",2,0.76,263
"ISO","coastwatch.pfeg.noaa.gov","cooluri",2,0.60,333
"ISO","repository.stategeothermaldata.org","cooluri",7,0.30,2343
"ISO","inport.nmfs.noaa.gov","cooluri",1,0.13,776
"ISO","data-search.nerc.ac.uk","doi",104,15.12,688
"ISO","www.ngdc.noaa.gov","doi",65,6.55,992
"ISO","www.aoncadis.org","doi",2,6.45,31
"ISO","data.noaa.gov","doi",66,5.31,1244
"ISO","catalog.data.gov","doi",150,3.07,4890
"ISO","portal.oceannet.org","doi",2,1.92,104
"ISO","inport.nmfs.noaa.gov","doi",11,1.42,776
"ISO","www.coris.noaa.gov","doi",3,1.14,263
"ISO","www.usgs.gov","doi",5,0.43,1156
"ISO","inport.nmfs.noaa.gov","md5",753,97.04,776
"ISO","www.ncddc.noaa.gov","md5",295,93.65,315
"ISO","www.ngdc.noaa.gov","md5",928,93.55,992
"ISO","www.eea.europa.eu","md5",11,55.00,20
"ISO","data-search.nerc.ac.uk","md5",375,54.51,688
"ISO","data.noaa.gov","md5",399,32.07,1244
"ISO","portal.oceannet.org","md5",29,27.88,104
"ISO","repository.stategeothermaldata.org","md5",547,23.35,2343
"ISO","locationmde.data.gov.uk","md5",29,16.02,181
"ISO","oos.soest.hawaii.edu","md5",35,10.67,328
"ISO","data.daff.gov.au","md5",2,8.70,23
