"tag","host","freq_tag_by_response","response_per_host","average_tokens","min_tokens","max_tokens"
"Title","water.discomap.eea.europa.eu",2627,8,1.00,1,1
"Title","w4.jcommops.org",2627,6,4.00,4,4
"Title","vmap0.tiles.osgeo.org",2627,1,3.00,3,3
"Title","tpwd.texas.gov",2627,6,1.00,1,1
"Title","esrl.noaa.gov",2627,5,1.00,1,1
"Title","encdirect.noaa.gov",2627,22,1.00,1,1
"Title","egisws02.nos.noaa.gov",2627,42,1.00,1,1
"Title","egis.hud.gov",2627,6,1.00,1,1
"Title","eerscmap.usgs.gov",2627,4,1.00,1,1
"Title","ec.gc.ca",2627,1,1.00,1,1
"Title","ecco.jpl.nasa.gov",2627,340,3.00,3,3
"Title","ebolageonode.org",2627,2,2.00,2,2
"Title","dnrmaps.wi.gov",2627,13,1.00,1,1
"Title","discomap.eea.europa.eu",2627,16,1.00,1,1
"Title","disc1.sci.gsfc.nasa.gov",2627,6,17.33,16,18
"Title","disc1.gsfc.nasa.gov",2627,1,17.00,17,17
"Title","demo.storms.ngs.woc.noaa.gov",2627,1,1.00,1,1
"Title","demo.pycsw.org",2627,3,6.67,5,9
"Title","demo.mapserver.org",2627,3,5.00,5,5
"Title","data.wien.gv.at",2627,3,5.67,5,7
"Title","dataserver.nccs.nasa.gov",2627,6,2.00,2,2
"Title","data.nanoos.org",2627,1,14.00,14,14
"Title","data.jrc.ec.europa.eu",2627,1,2.00,2,2
"Title","data.gov.au",2627,13,4.00,4,4
"Title","data.geo.az.gov",2627,1,1.00,1,1
"Title","cwcgom.aoml.noaa.gov",2627,9,8.22,3,21
"Title","comps.marine.usf.edu",2627,1,6.00,6,6
"Title","coast.noaa.gov",2627,189,1.11,1,7
"Title","coastalmap.marine.usgs.gov",2627,29,1.54,1,5
"Title","cloud.insideidaho.org",2627,1,1.00,1,1
"Title","clear3.uconn.edu",2627,2,1.00,1,1
"Title","certmapper.cr.usgs.gov",2627,21,1.31,1,6
"Title","bluehub.jrc.ec.europa.eu",2627,4,13.50,12,14
"Title","bio.discomap.eea.europa.eu",2627,5,1.00,1,1
"Title","basemap.nationalmap.gov",2627,12,2.67,1,8
"Title","atlas.wvgs.wvnet.edu",2627,24,3.35,1,9
"Title","atlas.resources.ca.gov",2627,2,1.00,1,1
"Title","atlas.geog.pdx.edu",2627,8,1.00,1,1
"Title","arcgis.sd.gov",2627,2,1.00,1,1
"Title","apps.nd.gov",2627,1,6.00,6,6
"Title","apps.geomatics.gov.nt.ca",2627,6,1.00,1,1
"Title","apps.fs.usda.gov",2627,2,1.00,1,1
"Title","apps.fs.fed.us",2627,24,1.00,1,1
"Title","107.20.228.18",2627,2,1.00,1,1
"Title","tnmap.tn.gov",2627,5,1.00,1,1
"Title","tigerweb.geo.census.gov",2627,29,1.00,1,1
"Title","tds.glos.us",2627,2,3.00,3,3
"Title","taskman.eionet.europa.eu",2627,1,1.00,1,1
"Title","tabs2.gerg.tamu.edu",2627,1,5.00,5,5
"Title","storms.ngs.noaa.gov",2627,4,3.75,3,5
"Title","srfs.wr.usgs.gov",2627,2,1.00,1,1
"Name","inspire.nationalparks.gov.uk",1767,3,1.00,1,1
"Name","inspire.oldham.gov.uk",1767,1,1.00,1,1
"Name","inspire.redcar-cleveland.gov.uk",1767,2,1.00,1,1
"Name","inspire.wales.gov.uk",1767,1,1.00,1,1
"Name","irmaservices.nps.gov",1767,51,7.03,1,178
"Name","kars.ku.edu",1767,39,1.00,1,1
"Name","kartat.lounaispaikka.fi",1767,2,1.00,1,1
"Name","kortservice.vejle.dk",1767,2,1.00,1,1
"Name","land.discomap.eea.europa.eu",1767,15,1.00,1,1
"Name","lasigpublic.nerc-lancaster.ac.uk",1767,5,165.60,118,209
"Name","limaims.cr.usgs.gov",1767,3,1.00,1,1
"Name","map.bgs.ac.uk",1767,3,5.33,1,14
"Name","map.earthchemportal.org",1767,1,1.00,1,1
"Name","mapgateway.snh.gov.uk",1767,1,1.00,1,1
"Name","map.gsa.state.al.us",1767,4,1.00,1,1
"Name","mapping.launceston.tas.gov.au",1767,1,1.00,1,1
"Name","maps2.dcgis.dc.gov",1767,17,1.00,1,1
"Name","maps.bolton.gov.uk",1767,1,1.00,1,1
"Name","maps.bristol.gov.uk",1767,1,5.00,5,5
"Name","maps.cera.govt.nz",1767,31,1.00,1,1
"Name","maps.communities.gov.uk",1767,1,1.00,1,1
"Name","maps.edc.uri.edu",1767,34,1.00,1,1
"Name","mapserver.kansasgis.org",1767,6,1.00,1,1
"Name","maps.gcc.tas.gov.au",1767,1,1.00,1,1
"Name","maps.ngdc.noaa.gov",1767,77,42.84,1,360
"Name","maps.reigate-banstead.gov.uk",1767,1,1.00,1,1
"Name","maps.york.gov.uk",1767,9,1.00,1,1
"Name","maritimeboundaries.noaa.gov",1767,7,2.14,1,5
"Name","mgs.geology.wmich.edu",1767,7,1.00,1,1
"Name","michigan.glin.net",1767,2,1.00,1,1
"Name","moimagery.missouri.edu",1767,10,1.00,1,1
"Name","mrdata.usgs.gov",1767,208,1.41,1,2
"Name","neowms.sci.gsfc.nasa.gov",1767,1,1.00,1,1
"Name","ngamaps.geointapps.org",1767,4,1.00,1,1
"Name","ngs.woc.noaa.gov",1767,3,2.00,2,2
"Name","noise.discomap.eea.europa.eu",1767,1,1.00,1,1
"Name","nowcoast.noaa.gov",1767,6,1.00,1,1
"Name","ogc.gina.alaska.edu",1767,4,1.00,1,1
"Name","onegeology.org",1767,1,1.00,1,1
"Name","oos.soest.hawaii.edu",1767,3,1.00,1,1
"Name","osmc.noaa.gov",1767,4,1.00,1,1
"Name","raster.nationalmap.gov",1767,6,55.20,1,165
"Name","resource.sgu.se",1767,23,1.00,1,1
"Name","rmgsc.cr.usgs.gov",1767,3,81.00,20,198
"Name","rsg.pml.ac.uk",1767,9,1.00,1,1
"Name","sampleserver1.arcgisonline.com",1767,1,138.00,138,138
"Name","schemas.opengis.net",1767,1,1.00,1,1
